41,177,280
'\'(-inf-58]\'','\'(1.4-inf)\'',8
'\'(-inf-58]\'','\'(1.4-inf)\'',6
'\'(58-inf)\'','\'(1.4-inf)\'',10
'\'(-inf-58]\'','\'(1.4-inf)\'',1
'\'(-inf-58]\'','\'(1.4-inf)\'',7
'\'(58-inf)\'','\'(1.4-inf)\'',14
'\'(-inf-58]\'','\'(-inf-1.4]\'',1
'\'(-inf-58]\'','\'(-inf-1.4]\'',1
'\'(-inf-58]\'','\'(1.4-inf)\'',1
'\'(58-inf)\'','\'(-inf-1.4]\'',10
'\'(58-inf)\'','\'(-inf-1.4]\'',3
'\'(-inf-58]\'','\'(1.4-inf)\'',1
'\'(-inf-58]\'','\'(-inf-1.4]\'',10
'\'(-inf-58]\'','\'(1.4-inf)\'',6
'\'(58-inf)\'','\'(1.4-inf)\'',1
'\'(-inf-58]\'','\'(1.4-inf)\'',1
'\'(-inf-58]\'','\'(1.4-inf)\'',10
'\'(-inf-58]\'','\'(-inf-1.4]\'',1
'\'(58-inf)\'','\'(-inf-1.4]\'',1
'\'(-inf-58]\'','\'(1.4-inf)\'',1
'\'(-inf-58]\'','\'(1.4-inf)\'',1
'\'(58-inf)\'','\'(1.4-inf)\'',1
'\'(-inf-58]\'','\'(1.4-inf)\'',1
'\'(-inf-58]\'','\'(-inf-1.4]\'',1
'\'(-inf-58]\'','\'(1.4-inf)\'',1
'\'(-inf-58]\'','\'(1.4-inf)\'',16
'\'(58-inf)\'','\'(1.4-inf)\'',14
'\'(-inf-58]\'','\'(1.4-inf)\'',10
'\'(-inf-58]\'','\'(-inf-1.4]\'',2
'\'(-inf-58]\'','\'(-inf-1.4]\'',2
'\'(-inf-58]\'','\'(-inf-1.4]\'',6
'\'(-inf-58]\'','\'(-inf-1.4]\'',1
'\'(-inf-58]\'','\'(1.4-inf)\'',1
'\'(-inf-58]\'','\'(1.4-inf)\'',1
'\'(-inf-58]\'','\'(-inf-1.4]\'',4
'\'(-inf-58]\'','\'(-inf-1.4]\'',1
'\'(-inf-58]\'','\'(1.4-inf)\'',1
'\'(-inf-58]\'','\'(1.4-inf)\'',10
'\'(-inf-58]\'','\'(1.4-inf)\'',1
'\'(-inf-58]\'','\'(-inf-1.4]\'',6
'\'(-inf-58]\'','\'(-inf-1.4]\'',1
'\'(-inf-58]\'','\'(-inf-1.4]\'',1
