@relation 'data-weka.filters.unsupervised.attribute.Remove-R3-4,6-8,10-11,13-14'

@attribute 1 {b,a}
@attribute 2 numeric
@attribute 5 {g,p,gg}
@attribute 9 {t,f}
@attribute 12 {t,f}
@attribute 15 numeric
@attribute 16 {+,-}

@data
b,30.83,g,t,f,0,+
a,58.67,g,t,f,560,+
a,24.5,g,t,f,824,+
b,27.83,g,t,t,3,+
b,20.17,g,t,f,0,+
b,32.08,g,t,t,0,+
b,33.17,g,t,t,31285,+
a,22.92,g,t,f,1349,+
b,54.42,p,t,f,314,+
b,42.5,p,t,t,1442,+
b,22.08,g,f,t,0,+
b,29.92,g,t,f,200,+
a,38.25,g,t,t,0,+
b,48.08,g,f,f,2690,+
a,45.83,g,t,t,0,+
b,36.67,p,t,t,0,+
b,28.25,g,t,t,0,+
a,23.25,g,t,f,245,+
b,21.83,g,t,t,0,+
a,19.17,g,t,f,0,+
b,25,g,t,f,1208,+
b,23.25,g,t,f,0,+
a,47.75,g,t,t,1260,+
a,27.42,g,t,f,11,+
a,41.17,g,t,t,0,+
a,15.83,g,t,f,0,+
a,47,g,t,t,0,+
b,56.58,g,t,t,0,+
b,57.42,g,t,f,0,+
b,42.08,g,t,t,10000,+
b,29.25,g,t,t,0,+
b,42,g,t,f,0,+
b,49.5,g,t,t,5000,+
a,36.75,g,t,t,4000,+
a,22.58,g,t,t,560,+
b,27.83,g,t,t,35,+
b,27.25,g,t,t,713,+
a,23,g,t,t,551,+
b,27.75,p,t,f,500,+
b,54.58,g,t,t,300,+
b,34.17,g,t,t,221,+
b,28.92,g,t,f,2283,+
b,29.67,g,t,f,100,+
b,39.58,g,t,t,0,+
b,56.42,p,t,f,15,+
b,54.33,g,t,t,284,+
a,41,p,t,t,1236,+
b,31.92,g,t,f,300,+
b,41.5,g,f,f,0,+
b,23.92,g,f,f,0,+
a,25.75,g,t,t,0,+
b,26,g,t,t,0,+
b,37.42,g,t,t,5800,+
b,34.92,g,t,t,200,+
b,34.25,g,t,t,0,+
b,23.33,p,t,t,300,+
b,23.17,g,t,f,0,+
b,44.33,g,t,t,0,+
b,35.17,g,f,t,0,+
b,43.25,g,t,f,0,+
